URL,Gegenstand,Zidane,Vivi,Garnet,Steiner,Freia,Quina,Eiko,Mahagon
https://finalfantasy.fandom.com/wiki/Adaman_Hat_(Final_Fantasy_IX),"Adaman Hat","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Adaman_Vest_(Final_Fantasy_IX),"Adaman Vest","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Aegis_Gloves_(Final_Fantasy_IX),"Aegis Gloves","Kein Bedarf","Kein Bedarf","Kein Bedarf",Eigentümer,"Kein Bedarf","Kein Bedarf","Kein Bedarf","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Southern_Tropical_Outfits,"Aloha T-shirt","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Amethyst_(Final_Fantasy_IX),Amethyst,"Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht","Kann, braucht nicht"
https://finalfantasy.fandom.com/wiki/Ancient_Aroma,"Ancient Aroma","Kein Bedarf","Kein Bedarf","Möchte und kann","Kein Bedarf","Kann, braucht nicht","Kein Bedarf","Kann, braucht nicht","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Angel_Earrings_(Final_Fantasy_IX),"Angel Earrings","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Anklet_(Final_Fantasy_IX),Anklet,"Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Aquamarine_(Final_Fantasy_IX),Aquamarine,"Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Bandana_(Final_Fantasy_IX),Bandana,"Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Barbut_(Final_Fantasy_IX),Barbut,"Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Möchte und kann","Möchte und kann","Kein Bedarf","Kein Bedarf","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Barette_(Final_Fantasy_IX),Barette,"Möchte, kann nicht","Kein Bedarf","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Battle_Boots_(Final_Fantasy_IX),"Battle Boots","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Black_Belt_(Final_Fantasy_IX),"Black Belt","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte und kann","Möchte und kann","Kann, braucht nicht","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Black_Hood_(Final_Fantasy_IX),"Black Hood","Möchte und kann","Möchte und kann","Möchte und kann","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Möchte und kann","Möchte, kann nicht"
https://finalfantasy.fandom.com/wiki/Black_Robe_(Final_Fantasy_IX),"Black Robe","Kein Bedarf","Möchte und kann","Möchte, kann nicht","Kein Bedarf","Kein Bedarf","Kann, braucht nicht","Möchte, kann nicht","Kein Bedarf"
https://finalfantasy.fandom.com/wiki/Bone_Wrist_(Final_Fantasy_IX),"Bone Wrist","Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
https://finalfantasy.fandom.com/wiki/Bracer_(Final_Fantasy_IX),Bracer,"Möchte und kann","Möchte und kann","Kann, braucht nicht","Möchte, kann nicht","Möchte, kann nicht","Möchte und kann","Kann, braucht nicht","Möchte und kann"
